Wins,Losses,Draws
12,5,83
10,6,84
7,6,87
40,9,51
49,10,41
46,14,40
52,13,35
44,6,50
36,11,53
50,4,46
49,10,41
47,10,43
59,10,31
55,10,35
53,8,39
50,4,46
44,9,47
56,6,38
55,4,41
54,14,32
