Wins,Losses,Draws
14,11,75
15,11,74
20,20,60
6,13,81
27,24,49
30,12,58
35,17,48
34,19,47
32,19,49
15,30,55
16,19,65
34,20,46
25,31,44
39,27,34
36,32,32
23,21,56
45,22,33
19,22,59
11,22,67
20,31,49
