Wins,Losses,Draws
24,6,70
22,14,64
20,14,66
43,18,39
51,14,35
57,17,26
56,11,33
50,12,38
42,17,41
49,8,43
50,10,40
38,15,47
53,14,33
48,14,38
56,11,33
40,11,49
55,8,37
37,22,41
48,10,42
55,10,35
