Wins,Losses,Draws
0,6,94
0,4,96
1,4,95
39,9,52
40,10,50
43,11,46
40,9,51
44,6,50
53,7,40
48,9,43
39,5,56
44,9,47
44,4,52
40,8,52
51,4,45
43,4,53
52,7,41
43,7,50
49,9,42
46,8,46
