Wins,Losses,Draws
4,2,94
9,4,87
49,11,40
43,10,47
55,13,32
52,12,36
58,10,32
42,15,43
45,9,46
46,6,48
8,1,91
1,7,92
6,7,87
54,8,38
52,10,38
48,8,44
49,8,43
53,11,36
49,14,37
52,13,35
