Wins,Losses,Draws
19,15,66
28,9,63
44,21,35
36,18,46
34,24,42
26,27,47
21,28,51
28,21,51
19,35,46
29,27,44
11,25,64
20,28,52
30,23,47
33,31,36
26,27,47
10,24,66
29,27,44
15,18,67
25,22,53
29,26,45
