Wins,Losses,Draws
11,3,86
6,7,87
50,14,36
43,12,45
51,9,40
49,10,41
40,18,42
45,7,48
57,12,31
44,13,43
10,5,85
11,9,80
12,9,79
53,7,40
44,8,48
55,11,34
49,13,38
46,13,41
47,10,43
45,9,46
