Wins,Losses,Draws
19,4,77
14,11,75
7,5,88
5,8,87
6,12,82
13,18,69
22,9,69
27,14,59
41,22,37
33,16,51
21,16,63
20,17,63
30,19,51
29,17,54
13,25,62
25,27,48
27,15,58
40,18,42
48,12,40
25,24,51
