Wins,Losses,Draws
0,0,100
1,0,99
39,8,53
46,4,50
42,8,50
43,14,43
48,11,41
49,4,47
50,3,47
52,5,43
37,12,51
45,7,48
48,10,42
39,11,50
44,8,48
39,6,55
46,8,46
40,11,49
53,9,38
37,15,48
