Wins,Losses,Draws
14,11,75
16,11,73
42,19,39
48,12,40
56,12,32
42,18,40
45,12,43
49,16,35
46,17,37
49,15,36
46,12,42
49,10,41
55,13,32
47,13,40
57,10,33
48,11,41
48,12,40
44,14,42
42,11,47
49,15,36
