Wins,Losses,Draws
26,15,59
13,21,66
26,30,44
24,20,56
21,32,47
26,22,52
30,30,40
25,20,55
22,24,54
35,20,45
22,27,51
35,25,40
28,18,54
28,24,48
18,31,51
26,20,54
27,31,42
30,28,42
22,30,48
25,28,47
