Wins,Losses,Draws
6,0,94
4,1,95
43,5,52
59,9,32
44,4,52
55,8,37
51,8,41
46,11,43
51,8,41
41,10,49
45,8,47
52,4,44
46,9,45
50,14,36
47,12,41
51,12,37
43,10,47
46,6,48
48,11,41
39,10,51
