Wins,Losses,Draws
7,13,80
5,15,80
7,9,84
8,5,87
4,5,91
6,9,85
5,6,89
5,9,86
8,4,88
4,10,86
8,10,82
10,6,84
4,12,84
10,9,81
6,10,84
6,15,79
5,12,83
6,16,78
11,4,85
10,5,85
