Wins,Losses,Draws
2,6,92
3,4,93
4,3,93
0,3,97
2,4,94
2,4,94
0,5,95
1,8,91
2,3,95
3,4,93
6,7,87
2,1,97
5,5,90
3,5,92
3,3,94
4,4,92
3,9,88
0,1,99
3,2,95
1,3,96
