Wins,Losses,Draws
3,2,95
3,0,97
2,2,96
2,8,90
4,13,83
3,10,87
3,11,86
5,9,86
2,12,86
50,5,45
47,8,45
51,11,38
57,6,37
48,7,45
51,6,43
54,8,38
50,9,41
51,8,41
47,7,46
48,6,46
