Wins,Losses,Draws
8,5,87
9,6,85
7,6,87
12,14,74
8,19,73
15,7,78
8,16,76
13,17,70
12,10,78
46,9,45
49,13,38
38,18,44
42,17,41
42,17,41
51,11,38
41,16,43
49,19,32
50,13,37
47,14,39
48,9,43
