Wins,Losses,Draws
2,7,91
6,4,90
2,5,93
49,12,39
51,11,38
45,6,49
49,9,42
52,7,41
40,12,48
48,10,42
51,8,41
56,6,38
39,6,55
50,11,39
37,8,55
54,14,32
51,8,41
49,6,45
53,8,39
51,11,38
