Wins,Losses,Draws
0,0,100
0,8,92
46,7,47
57,5,38
37,13,50
42,10,48
45,12,43
40,9,51
43,8,49
39,8,53
48,7,45
44,5,51
46,7,47
50,6,44
42,7,51
35,11,54
38,15,47
42,4,54
52,5,43
45,3,52
