Wins,Losses,Draws
5,2,93
9,8,83
51,10,39
53,5,42
48,11,41
53,8,39
50,8,42
45,7,48
55,6,39
49,9,42
42,11,47
53,10,37
40,11,49
45,8,47
46,10,44
52,9,39
45,18,37
53,7,40
51,8,41
40,7,53
