Wins,Losses,Draws
20,12,68
14,20,66
39,16,45
40,13,47
49,15,36
44,20,36
48,12,40
50,15,35
45,15,40
46,15,39
51,17,32
55,11,34
48,19,33
46,23,31
52,20,28
58,14,28
46,19,35
56,15,29
51,13,36
59,10,31
