Wins,Losses,Draws
18,3,79
10,14,76
45,10,45
61,9,30
47,9,44
53,7,40
45,17,38
48,10,42
49,17,34
47,16,37
58,14,28
43,11,46
48,16,36
52,9,39
47,11,42
52,14,34
49,14,37
48,8,44
54,11,35
64,8,28
