Wins,Losses,Draws
13,16,71
37,26,37
25,25,50
32,19,49
41,27,32
34,30,36
25,32,43
22,21,57
38,37,25
24,39,37
29,36,35
28,29,43
38,22,40
30,32,38
24,17,59
21,26,53
26,42,32
31,26,43
23,30,47
36,27,37
