Wins,Losses,Draws
8,6,86
14,3,83
50,9,41
56,8,36
49,9,42
47,9,44
53,10,37
48,18,34
52,10,38
47,6,47
51,9,40
44,11,45
49,13,38
46,10,44
45,6,49
55,9,36
44,11,45
47,10,43
41,9,50
49,6,45
