Wins,Losses,Draws
1,0,99
4,0,96
3,3,94
0,1,99
0,1,99
0,0,100
0,2,98
1,2,97
1,0,99
1,0,99
3,0,97
0,5,95
2,0,98
4,7,89
0,0,100
0,0,100
1,0,99
5,2,93
0,0,100
3,1,96
