Wins,Losses,Draws
14,20,66
8,19,73
11,13,76
12,10,78
7,16,77
20,12,68
15,18,67
13,15,72
8,19,73
12,17,71
13,20,67
12,10,78
9,23,68
9,20,71
9,13,78
12,24,64
9,22,69
11,21,68
10,19,71
11,17,72
